9.487889254990707;0.0	10.119167934347225;0.0	11.193312671316946;0.0	10.408794759624376;0.0	9.648165660983212;0.0	
8.769828250425844;0.0	10.09169767443583;0.0	11.174550051874126;0.0	11.960522445243363;0.0	10.941591085486973;0.0	
8.409817223277773;0.0	9.569289257236564;0.0	10.95263128133086;0.0	11.733624761350459;0.0	10.505093360180611;0.0	
8.891290047590614;0.0	9.7602654253619;0.0	11.403281836739524;0.0	10.867667493800498;0.0	9.236538002889905;0.0	
7.9404286363641345;0.0	9.70082708322735;0.0	12.313461287578424;0.0	10.3451129565788;0.0	9.602421473395614;0.0	
7.120695096688335;0.0	9.620778425751842;0.0	12.318839638460194;0.0	10.738232028786378;0.0	8.88657645150483;0.0	
8.962365837807099;0.0	10.010513649869084;0.0	11.068539613288745;0.0	9.866985334682255;0.0	9.112062421726268;0.0	
7.471680033233367;0.0	10.087012024558264;0.0	10.870907961588216;0.0	10.117148376946009;0.0	9.230896966582204;0.0	
8.728906015378763;0.0	9.204051940794702;0.0	10.47134456793412;0.0	10.01741390725179;0.0	8.800525072818795;0.0	
7.487988881790041;0.0	10.331912395505737;0.0	10.22229794973837;0.0	9.623453579978884;0.0	8.927229644986015;0.0	
8.38710151027083;0.0	10.562485592115427;0.0	10.467073424387747;0.0	10.241636496850699;0.0	9.207480137659186;0.0	
9.608216358388415;0.0	10.591160873493482;0.0	10.237458679165076;0.0	9.675084104547997;0.0	9.550899724602035;0.0	
8.950509480646515;0.0	10.16039071995231;0.0	10.651853033467534;0.0	9.950157899851924;0.0	10.093779559954408;0.0	
9.18178289066762;0.0	10.505795878959981;0.0	9.424907974263581;0.0	9.961999907978281;0.0	10.24388330040894;0.0	
9.073738335125512;0.0	10.039354311018041;0.0	11.952750648017009;0.0	11.293476106866198;0.0	9.681162470827404;0.0	
8.295178725802625;0.0	9.521188827791871;0.0	11.766753671628138;0.0	11.24309340540505;0.0	9.506211894278684;0.0	
8.778936402684176;0.0	10.577159293324105;0.0	10.421893856017803;0.0	11.851912648625055;0.0	9.85947744582886;0.0	
8.288954626064848;0.0	9.690388360960988;0.0	12.297710718014446;0.0	10.377265119500867;0.0	9.790316657927336;0.0	
7.185802788876554;0.0	10.30211966028336;0.0	10.874926857564162;0.0	10.899299762787912;0.0	9.863338340167326;0.0	
8.014968307617012;0.0	10.0412045432663;0.0	10.93816411090628;0.0	11.378387325944974;0.0	10.445152416359344;0.0	
9.153017715031975;0.0	10.118727851624618;0.0	10.476555877271839;0.0	10.437365592656324;0.0	9.77288393981652;0.0	
9.300747971033694;0.0	10.416977072327045;0.0	10.251350817259192;0.0	10.03581512036672;0.0	9.284733130166694;0.0	
7.765478353150479;0.0	10.241610405717996;0.0	10.397115343267416;0.0	11.996638154053008;0.0	10.808734155797044;0.0	
8.600104652516462;0.0	9.47813200298153;0.0	11.256456867762775;0.0	11.793803844523307;0.0	10.907614703210555;0.0	
